Time (sec),%activity,CKpCamCa4
0.194082,0.167863,33.5726
1.94082,0.176241,35.2482
3.6871,0.352482,70.4964
6.79242,0.367376,73.4752
8.15193,0.0381649,7.63298
9.70319,0.549202,109.8404
11.8362,1.2309,246.18
13.3884,1.40621,281.242
14.5511,2.08324,416.648
15.7142,2.59242,518.484
17.8481,2.93839,587.678
19.5958,2.61104,522.208
22.3134,2.45621,491.242
24.8365,2.46831,493.662
26.9709,2.64641,529.282
28.7186,2.31906,463.812
31.4358,2.33209,466.418
33.5707,2.34233,468.466
36.0938,2.35443,470.886
37.8405,2.36281,472.562
39.9749,2.54091,508.182
42.1094,2.71902,543.804
44.8256,3.06777,613.554
46.9605,3.07801,615.602
49.4836,3.09012,618.024
51.4235,3.43515,687.03
54.1406,3.44818,689.636
55.6924,3.79136,758.272
57.8263,4.13732,827.464
60.3489,4.31729,863.458
61.9016,4.32473,864.946
64.6164,5.17708,1035.416
67.139,5.35705,1071.41
69.2721,6.03874,1207.748
71.7933,6.7223,1344.46
74.315,7.23799,1447.598
77.0303,7.92247,1584.494
78.5829,7.92992,1585.984
80.3297,7.9383,1587.66
82.4646,7.94854,1589.708
85.764,7.96436,1592.872
88.4811,7.97739,1595.478
91.0051,7.65377,1530.754
92.9459,7.66308,1532.616
94.8877,7.33666,1467.332
97.0226,7.3469,1469.38
98.5748,7.52221,1504.442
99.7393,7.52779,1505.558
101.098,7.36645,1473.29
