Time (sec),%activity,CKpCamCa4
0,0.166933,33.3866
1.74441,1.01463,202.926
2.90658,1.85953,371.906
3.8742,2.87137,574.274
4.84182,3.8832,776.64
6.00352,4.89597,979.194
6.97068,6.07566,1215.132
8.326,7.25723,1451.446
9.09953,8.26813,1653.626
9.87354,9.11117,1822.234
11.0357,9.95607,1991.214
11.8092,10.967,2193.4
13.3582,12.3173,2463.46
14.7149,12.9953,2599.06
16.4579,14.3466,2869.32
18.0073,15.5291,3105.82
19.169,16.5418,3308.36
21.107,17.5583,3511.66
22.6578,18.2372,3647.44
23.8191,19.4179,3883.58
25.1749,20.4316,4086.32
26.9179,21.7828,4356.56
28.4673,22.9653,4593.06
30.4044,24.3176,4863.52
31.7597,25.4991,5099.82
33.1164,26.1771,5235.42
34.6649,27.6953,5539.06
36.2143,28.8778,5775.56
37.9573,30.2291,6045.82
39.1186,31.4097,6281.94
40.0862,32.4215,6484.3
