Time (sec),%activity,CKpCamCa4
0,0.000931,0.1862
1.93431,2.52633,505.266
1.7365,3.86831,773.662
3.28451,5.55439,1110.878
3.86024,7.90727,1581.454
4.43783,9.5887,1917.74
4.43411,10.9316,2186.32
4.81855,12.2764,2455.28
4.81483,13.6193,2723.86
5.19694,15.8034,3160.68
5.58185,16.9803,3396.06
6.15991,18.4938,3698.76
6.7375,20.1753,4035.06
6.92553,22.3584,4471.68
7.11356,24.5416,4908.32
7.49568,26.7257,5345.14
8.26642,28.7438,5748.76
8.64993,30.4242,6084.84
9.22566,32.7771,6555.42
9.41323,35.1281,7025.62
10.3739,38.6579,7731.58
12.6926,42.3621,8472.42
14.4301,45.7277,9145.54
16.1689,48.5898,9717.96
17.7141,51.2831,10256.62
19.4539,53.8094,10761.88
20.2251,55.6596,11131.92
21.384,57.6796,11535.92
22.9324,59.1978,11839.56
24.0914,61.2177,12243.54
25.2507,63.0698,12613.96
