Time sec,Epac1cAMP (%fret 10)
2.864,0.98637
12.352,0.993133
21.84,1.032226
31.328,0.989682
40.816,1.058316
50.304,0.99169
59.792,0.980003
69.28,0.93386
78.768,1.02928
88.256,1.062492
97.744,0.956469
107.232,0.977973
116.72,0.961709
126.208,1.012995
135.696,1.051124
145.184,1.041266
154.672,1.01565
164.16,1.029597
173.648,1.140142
183.136,1.232057
192.624,1.270361
202.112,1.110459
211.6,1.118098
221.088,1.124088
230.576,1.105711
240.064,1.23525
249.552,1.136816
259.04,1.215493
268.528,1.086125
278.016,1.188191
287.504,1.158263
296.992,1.117619
306.48,1.112022
315.968,1.157046
325.456,1.099676
334.944,0.986343
344.432,1.156859
353.92,1.042182
363.408,1.118742
372.896,1.058906
382.384,1.13704
391.872,0.983705
401.36,1.048506
410.848,1.075352
420.336,1.021053
429.824,0.995819
439.312,1.038834
448.8,1.025319
458.288,1.091651
467.776,1.084799
477.264,1.008025
486.752,1.039999
496.24,1.086841
505.728,0.99319
515.216,0.985396
524.704,1.065554
534.192,1.072157
543.68,1.059652
553.168,1.008042
562.656,1.022607
572.144,1.039958
581.632,0.949985
591.12,1.025904
600.608,1.117763
610.096,1.024089
619.584,1.008805
629.072,0.90441
638.56,0.959909
648.048,1.022038
657.536,1.030006
667.024,0.983053
676.512,1.014112
686,1.047853
695.488,0.969305
