Time (sec), pNMDAR
0,0.2585281
2.864,0.2585281
12.352,0.2723141
21.84,0.290336
31.328,0.2405703
40.816,1.005471
50.304,0.2655995
59.792,0.2911609
69.28,0.2763491
78.768,0.2423286
88.256,0.2952994
97.744,1.0404092
107.232,0.284519
116.72,1.0359895
126.208,1.0292801
135.696,1.0086299
145.184,1.0585339
154.672,1.0114513
164.16,1.1978109
173.648,1.2377585
183.136,1.3582154
192.624,1.3572122
202.112,1.2813018
211.6,1.3424398
221.088,1.3606419
230.576,1.3282366
240.064,1.313458
249.552,1.3545573
259.04,1.3302123
268.528,1.3000036
278.016,1.3646903
287.504,1.3045322
296.992,1.3575158
306.48,1.2342922
315.968,1.3279878
325.456,1.2549816
334.944,1.3545297
344.432,1.3172546
353.92,1.2230803
363.408,1.3174834
372.896,1.2761876
382.384,1.3212518
391.872,1.2093529
401.36,1.2528572
410.848,1.2783483
420.336,1.1777955
429.824,1.2556632
439.312,1.1641312
448.8,1.2536805
458.288,1.2243665
467.776,1.180939
477.264,1.2388677
486.752,1.1580837
496.24,1.1560634
505.728,1.228561
515.216,1.1982169
524.704,1.1518779
534.192,1.164387
543.68,1.1896628
553.168,1.1759205
562.656,1.1484576
572.144,1.1440533
581.632,1.1146494
591.12,1.1874481
600.608,1.2109607
610.096,1.1602574
619.584,1.1010599
629.072,1.148047
638.56,1.1633709
648.048,1.1324584
657.536,1.0502194
667.024,1.1276056
676.512,1.063855
686,1.1493499
695.488,1.0630843
